Course Name                                                  | Programme Name                 | Lecturer Name                  | Room Name                      | Enrolled Students   

------------------------------------------------------------ | ------------------------------ | ------------------------------ | ------------------------------ | --------------------
Introduction to Computer Science                             | Computer Science               | john doe                       | Room 101                       | 5                   
Data Structures and Algorithms                               | Computer Science               | Jane Smith                     | Room 102                       | 5                   
Database Management Systems                                  | Computer Science               | Michael Johnson                | Room 103                       | 5                   
Software Engineering                                         | Computer Science               | Emily Brown                    | Room 104                       | 5                   
Web Development                                              | Computer Science               | David Wilson                   | Room 105                       | 5                   
Computer Networks                                            | Computer Science               | Jennifer Lee                   | Room 106                       | 5                   
Artificial Intelligence                                      | Computer Science               | Christopher Taylor             | Room 107                       | 5                   
Machine Learning                                             | Computer Science               | Sarah Martinez                 | Room 108                       | 5                   
Cybersecurity                                                | Computer Science               | Daniel Anderson                | Room 109                       | 5                   
Computer Graphics                                            | Computer Science               | Amanda White                   | Room 110                       | 5                   
Electrical Circuits                                          | Electrical Engineering         | john doe                       | Room 111                       | 5                   
Digital Signal Processing                                    | Electrical Engineering         | Jane Smith                     | Room 112                       | 5                   
Control Systems                                              | Electrical Engineering         | Michael Johnson                | Room 113                       | 5                   
Power Systems                                                | Electrical Engineering         | Emily Brown                    | Room 114                       | 5                   
Electromagnetic Fields                                       | Electrical Engineering         | David Wilson                   | Room 115                       | 5                   
Microelectronics                                             | Electrical Engineering         | Jennifer Lee                   | Room 116                       | 5                   
Renewable Energy Systems                                     | Electrical Engineering         | Christopher Taylor             | Room 117                       | 5                   
Robotics                                                     | Electrical Engineering         | Sarah Martinez                 | Room 118                       | 5                   
Embedded Systems                                             | Electrical Engineering         | Daniel Anderson                | Room 119                       | 5                   
VLSI Design                                                  | Electrical Engineering         | Amanda White                   | Room 120                       | 5                   
Principles of Management                                     | Business Administration        | john doe                       | Room 121                       | 0                   
Marketing Management                                         | Business Administration        | Jane Smith                     | Room 122                       | 0                   
Financial Management                                         | Business Administration        | Michael Johnson                | Room 123                       | 0                   
Human Resource Management                                    | Business Administration        | Emily Brown                    | Room 124                       | 0                   
Operations Management                                        | Business Administration        | David Wilson                   | Room 125                       | 0                   
Strategic Management                                         | Business Administration        | Jennifer Lee                   | Room 126                       | 0                   
Organizational Behavior                                      | Business Administration        | Christopher Taylor             | Room 127                       | 0                   
Business Ethics                                              | Business Administration        | Sarah Martinez                 | Room 128                       | 0                   
International Business                                       | Business Administration        | Daniel Anderson                | Room 129                       | 0                   
Entrepreneurship                                             | Business Administration        | Amanda White                   | Room 130                       | 0                   
Engineering Mechanics                                        | Mechanical Engineering         | john doe                       | Room 131                       | 0                   
Mechanical Vibrations                                        | Mechanical Engineering         | Jane Smith                     | Room 132                       | 0                   
Thermodynamics                                               | Mechanical Engineering         | Michael Johnson                | Room 133                       | 0                   
Fluid Mechanics                                              | Mechanical Engineering         | Emily Brown                    | Room 134                       | 0                   
Heat Transfer                                                | Mechanical Engineering         | David Wilson                   | Room 135                       | 0                   
Materials Science                                            | Mechanical Engineering         | Jennifer Lee                   | Room 136                       | 0                   
Manufacturing Processes                                      | Mechanical Engineering         | Christopher Taylor             | Room 137                       | 0                   
