Student Name,Student Number,Programme,Enrolled Modules,Completed Modules,Modules to Repeat
Abigail King	26	Business Administration	Computer Networks	Computer Networks (Grade: 82.3)	null
Adam Young	85	History	Renewable Energy Systems	Renewable Energy Systems (Grade: 78.7)	null
Addison Morris	50	Physics	Computer Graphics	Computer Graphics (Grade: 89.2)	null
Alexander Lewis	25	Business Administration	Web Development	Web Development (Grade: 87.8)	null
Alexis Long	69	Mathematics	Power Systems	Power Systems (Grade: 84.9)	null
Alice Johnson	2	Computer Science	Introduction to Computer Science	Introduction to Computer Science (Grade: 85)	null
Amaya Gonzalez	78	English Literature	Microelectronics	Microelectronics (Grade: 80.9)	null
Amelia Nelson	34	Mechanical Engineering	Artificial Intelligence	Artificial Intelligence (Grade: 81.5)	null
Andrew Foster	77	English Literature	Microelectronics	Microelectronics (Grade: 84.5)	null
Andrew Hernandez	11	Electrical Engineering	Database Management Systems	Database Management Systems (Grade: 84.6)	null
Anthony Allen	33	Mechanical Engineering	Artificial Intelligence	Artificial Intelligence (Grade: 86.7)	null
Audrey Turner	96	Psychology	VLSI Design	VLSI Design (Grade: 88.8)	null
Autumn Cooper	76	English Literature	Microelectronics	Microelectronics (Grade: 88.1)	null
Ava Anderson	18	Electrical Engineering	Software Engineering	Software Engineering (Grade: 88.9)	null
Avery Cook	49	Physics	Computer Graphics	Computer Graphics (Grade: 82.5)	null
Benjamin Gray	51	Chemistry	Electrical Circuits	Electrical Circuits (Grade: 94.5)	null
Benjamin Taylor	17	Electrical Engineering	Software Engineering	Software Engineering (Grade: 76.3)	null
Blake Mitchell	93	Psychology	Embedded Systems	Embedded Systems (Grade: 83.6)	null
Brandon Anderson	68	Mathematics	Power Systems	Power Systems (Grade: 90.2)	null
Brandon Martinez	89	History	Robotics	Robotics (Grade: 90.8)	null
Brayden Ortiz	63	Mathematics	Control Systems	Control Systems (Grade: 80.6)	null
Brianna Carter	80	English Literature	Microelectronics	Microelectronics (Grade: 86.9)	null
Brody Thompson	91	Psychology	Embedded Systems	Embedded Systems (Grade: 95.4)	null
Brooklyn Collins	60	Chemistry	Digital Signal Processing	Digital Signal Processing (Grade: 92.1)	null
Carter Powell	75	English Literature	Electromagnetic Fields	Electromagnetic Fields (Grade: 93.7)	null
Charlotte Perez	14	Electrical Engineering	Database Management Systems	Database Management Systems (Grade: 86.5)	null
Chloe Mitchell	36	Mechanical Engineering	Machine Learning	Machine Learning (Grade: 95.6)	null
Christian Hughes	65	Mathematics	Control Systems	Control Systems (Grade: 87.6)	null
Christopher Thomas	19	Electrical Engineering	Software Engineering	Software Engineering (Grade: 94.7)	null
Connor Morris	57	Chemistry	Digital Signal Processing	Digital Signal Processing (Grade: 90.9)	null
Daniel Jones	5	Computer Science	Introduction to Computer Science	Introduction to Computer Science (Grade: 88.7)	null
Daniel Price	44	Physics	Cybersecurity	Cybersecurity (Grade: 82.1)	null
Daniel Walker	31	Mechanical Engineering	Artificial Intelligence	Artificial Intelligence (Grade: 77.4)	null
David Foster	59	Chemistry	Digital Signal Processing	Digital Signal Processing (Grade: 79.7)	null
David Rodriguez	9	Computer Science	Data Structures and Algorithms	Data Structures and Algorithms (Grade: 87.3)	null
Destiny Campbell	72	English Literature	Electromagnetic Fields	Electromagnetic Fields (Grade: 82.6)	null
Elizabeth Young	24	Business Administration	Web Development	Web Development (Grade: 91.5)	null
Ella Foster	45	Physics	Cybersecurity	Cybersecurity (Grade: 96.3)	null
Ellie Bell	90	History	Robotics	Robotics (Grade: 76.4)	null
Emily Brown	4	Computer Science	Introduction to Computer Science	Introduction to Computer Science (Grade: 78.9)	null
Emma Miller	6	Computer Science	Data Structures and Algorithms	Data Structures and Algorithms (Grade: 75.6)	null
